序号	提交答卷时间	所用时间	来源	来源详情	来自IP	1、"讣告"中讣的读音是？（不知道填“不知道”即可。回答方法：拼音之后跟一个数字表示声调：比如：一的读音是“yi1”, 黄的读音是“huang2", 晚的读音是”wan3“, 大的读音是”da4“。）	2、你觉得其他人上一题可能会回答什么？（如果有多个请用逗号隔开： 比如一种答案可能是：“yi1,er4,san1“	3、摈弃中“摈”的读音是？(回答方法同上)	4、你觉得其他人上一题可能会回答什么？(回答方法同上)	5、"瑾"的读音是？(回答方法同上)	6、你觉得其他人上一题可能会回答什么？(回答方法同上)	7、汩汩中“汩”的读音是？(回答方法同上)	8、你觉得其他人上一题可能会回答什么？(回答方法同上)	9、"袂"的读音是？(回答方法同上)	10、你觉得其他人上一题可能会回答什么？(回答方法同上)	11、"龟裂"中“龟”的读音是？(回答方法同上)	12、你觉得其他人上一题可能会回答什么？(回答方法同上)	13、"呶呶不休"中“呶”的读音是？(回答方法同上)	14、你觉得其他人上一题可能会回答什么？(回答方法同上)	15、"饿殍"中“殍”的读音是？(回答方法同上)	16、你觉得其他人上一题可能会回答什么？(回答方法同上)	17、"睢"的读音是？(回答方法同上)	18、你觉得其他人上一题可能会回答什么？(回答方法同上)	19、刚愎自用弃中“愎”的读音是？(回答方法同上)	20、你觉得其他人上一题可能会回答什么？(回答方法同上)	21、"韵"的读音是？(回答方法同上)	22、你觉得其他人上一题可能会回答什么？(回答方法同上)
2	2020/11/13 15:08	171秒	N/A	N/A	N/A	bu3	bu3	bing3	bing3,bing4	jin3	jin3	gu3	gu3	que1	que1	1-Jun	1-Jun	nu1	nu1	piao3	fu3,piao3	sui1	sui1	bi4	bi4	yun4	yun4
3	2020/11/13 15:13	107秒	N/A	N/A	N/A	pu4	pu4	bing4	bing3	jin3	jin3	不知道	不知道	mei4	mei4	1-Jun	1-Jun	不知道	nu2	piao3	不知道	不知道	不知道	bi4	bi4	yun4	yun4
4	2020/11/13 19:25	186秒	N/A	N/A	N/A	pu4	pu1,fu4,fu1	bin4	bin1	jin3	这个不可能读错吧	gu3	lei4,yue1	mei4	kuai4,que1	1-Jun	gui1	不知道	nu2,nu3	piao2	fu2	sui1	ju1,wei2	bi4	不可能不知道	yun4	学过拼音的都知道
5	2020/11/16 19:54	99秒	N/A	N/A	N/A	fu4	fu3	bin4	bin3	jin3	jin3	gu3	gu1	mei4	jue2	1-Jun	gui1	nu3	nu2	piao2	fu2	ju1	zhi1	bi4	fu4	yun4	yun2
6	2020/11/16 19:54	122秒	N/A	N/A	N/A	bu4	pu4	bing3	bin4	jin3	yu2	gu3	lei4	que1	不知	gui1	不知道	die2	不知道	piao3	fu2	不知	zui1	bi4	fu4	yun4	1-Jun
7	2020/11/16 19:55	153秒	N/A	N/A	N/A	bu1	bu1,bu4	bin4	bin4,bing3	jin3	jin3	gu3	gu3,gu1	mei4	mei4,que1	1-Jun	jun1,gui1	yu1	nu2	piao3	piao3,fu2	sui1	zi1	bi4	bi4,fu4	yun4	yun4
8	2020/11/16 19:55	175秒	N/A	N/A	N/A	bu4	不可能有其他	bing3	bin3	jin3	jing3	gu3	luo2	mei4	可能不知道	1-Jun	gui1	不知道	不知道	fu2	fu3	ju1	zhui1	bi4	没有别的	yu4	不知道
9	2020/11/16 19:56	192秒	N/A	N/A	N/A	pu3	pu3,bu3	bing4	bing4	jin3	jin3	gu3	gu3	que1	que1,jue2	1-Jun	jun1,qun1,gui1	不知道	nu2	piao2	piao2	zhi4	zhi4	bi4	bi4,fu4	yun4	yun4
10	2020/11/16 19:56	228秒	N/A	N/A	N/A	pu2	pu2,bu3,pu4	bing3	bing3,bin3,bin1	jin3	jin3,jing3,jin1	gu3	gu3,niao3,ri4,yue1	mei4	mei4,que1	1-Jun	jun1,gui1,zi1	不知道	nu3	fu1	fu1,fu2	zi1	zi1,jiu2,wei1	bi4	bi1,fu4	yun4,jun1	yun4,jun1
11	2020/11/16 19:57	142秒	N/A	N/A	N/A	bu4	yi1	bing3	bin1	jin3	jin3	gu3	bo2	mei4	pei4	1-Jun	gui1	nu2	nu2	piao3	fu2	zhui1	zhui1	bi2	bi2	yun4	yun4
