20	不知道
12	15
41	41
20	不知道
12	80
50	不知道
80	80
12	12
12	12
15	15
80	64
50	15,50
15	15
15	15
12	12
85	15
85	90
12	80
12	12,15
80	80
12	12
41	41
80	12
41	41
12	12
80	15
40	40
12	15
80	80
15	15
10	5
35	35
80	80
12	85
80	12%
80	80
70	80
80	15
80	12
80	15
100	80,86,
50	85,20,50
80	80
40	20，15，40
80	12,80
80	80
41	41
20	10
80	80
80	12
50	70
80	12
20	20
41	41
15	85
15	80
41	41
88	12
15	20
80	80
15	15
12	12
80	85,80,90
68	85
80	80,15
14	14
12	12
85	80
12	12
15	20
80	85,15,80
68	68
12	80
60	80
15	80
80	20
32	12
80	20
68	68
10	20
12	12
80	80,15
80	80
80	80
20	20
80	80
80	80
50	80
96	80,15
12	18
12	12
20	20
15	15,80
80	85
12	12
12	12,15
85	0
80	15
12	80,15
80	20,80
80	80,12,15,85
41	80
80	85
23	不
80	80
15	80,12
12	100
不知道	不知道
12	12
80	12
12	15
12	15
80	85
80	80
41	41
15	15
15	15
15	20
18.75	45
20	10
12	15
12	80
83	80
20	20
80	12
85	85
80	90
100	85
80	12
80	85
12	12
100	80
9	9
68	68
80	80
12	50
95	100,95
12	12
20	20
80	,
80	12
10	20
12	80,15
88	95
80	20
68	68,80,85
12	15
60	80
不会	不知道
67.5	12
80	12,15
80	15
80	15,90
12	15,80
80	15
20	30,80
80	80
80	15,12
71	68
29	80,20
50	80
80	12
20	20
15	15
20	20
20	25
41	41
80	80
80	80,15
12	12
12	12,15
80	12
12	15
12	15
10	20
100	50
80	80
80	12
12	12
5	做好
15	15
80	85,68
80	40
12	15,80
68	68,85
15	80
5	5
12	80
80	20
80	85
20	百分比
0.5	0.5
20	10
20	20
41	40
12	不知道
60	80
80	80
80	80
15	不知道
80	15
80	85
42.5	12
12	15
80	15,80
20	15
41	41
80	80
80	其他人根本给不出答案
80	80
12	15
65	80
80	80,12
7.5	不知道
12	68
80	80
36.3	41
14	100
3	不知道
83	80
80	82
41	41,80
12	不知道
90	80,100
80	15
29	31
80	68
80	60
40	30
12	80,15
41	80
15	15
80	15
68	80
80	85
50	20
50	30
80	80
20	15,20
12	12
41	80
80	15
41	29
15	15,12
41	80,41
12	12
不知道	不知道
